%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1.65548679902091E+018,1313,1.65548679902057E+018,vectornav,0.009120238944888,0.743574678897858,-0.668587267398834,0.002159695141017,0,0,0,0,0,0,0,0,0,0.000722002761904,-0.000266077462584,-6.11022114753723E-05,0.01,0,0,0,0.01,0,0,0,0.01,0.16767655313015,9.83018302917481,1.05244171619415,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679904574E+018,1314,1.65548679904547E+018,vectornav,0.009116210974753,0.743573606014252,-0.668588519096375,0.002163209719583,0,0,0,0,0,0,0,0,0,-0.000541613495443,0.000922504579648,-0.000908080372028,0.01,0,0,0,0.01,0,0,0,0.01,0.164790868759155,9.81244373321533,1.05033934116364,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679907079E+018,1315,1.65548679907052E+018,vectornav,0.009123259223998,0.74356883764267,-0.668593764305115,0.002154895570129,0,0,0,0,0,0,0,0,0,0.001565862796269,0.000299839535728,-0.000261276145466,0.01,0,0,0,0.01,0,0,0,0.01,0.154952391982079,9.80411624908447,1.05719423294067,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679909583E+018,1316,1.65548679909555E+018,vectornav,0.009135307744145,0.7435702085495,-0.668592035770416,0.0021529244259,0,0,0,0,0,0,0,0,0,0.000472555839224,-0.00034231110476,0.000138456758577,0.01,0,0,0,0.01,0,0,0,0.01,0.156278550624847,9.84617328643799,1.04283034801483,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679912083E+018,1317,1.65548679912056E+018,vectornav,0.009133109822869,0.74356997013092,-0.66859233379364,0.002156333532184,0,0,0,0,0,0,0,0,0,0.000393033638829,-0.000129438005388,0.000890339317266,0.01,0,0,0,0.01,0,0,0,0.01,0.154084742069244,9.83834648132324,1.0473837852478,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679914575E+018,1318,1.65548679914541E+018,vectornav,0.009149239398539,0.743571043014526,-0.668591022491455,0.002149526029825,0,0,0,0,0,0,0,0,0,-0.001103100599721,0.000228001968935,0.000893163552973,0.01,0,0,0,0.01,0,0,0,0.01,0.169725269079208,9.82841110229492,1.06197452545166,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679917074E+018,1319,1.65548679917049E+018,vectornav,0.009150611236691,0.743568360805512,-0.668593943119049,0.002154758898541,0,0,0,0,0,0,0,0,0,-0.000534802908078,5.43873757123947E-05,0.000212670944165,0.01,0,0,0,0.01,0,0,0,0.01,0.186650276184082,9.85142517089844,1.05934882164001,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679919591E+018,1320,1.65548679919557E+018,vectornav,0.00915598589927,0.743569552898407,-0.668592572212219,0.002157455077395,0,0,0,0,0,0,0,0,0,-0.000928351306356,-0.00057075638324,0.00020838790806,0.01,0,0,0,0.01,0,0,0,0.01,0.154331803321838,9.81622886657715,1.034095287323,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679922071E+018,1321,1.65548679922046E+018,vectornav,0.009161822497845,0.743569850921631,-0.668592095375061,0.002146557206288,0,0,0,0,0,0,0,0,0,-0.000195966364117,0.00083813094534,0.000288474140689,0.01,0,0,0,0.01,0,0,0,0.01,0.145457744598389,9.80738735198975,1.08146727085114,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679924565E+018,1322,1.65548679924543E+018,vectornav,0.009160947054625,0.743568062782288,-0.668594062328339,0.002145832637325,0,0,0,0,0,0,0,0,0,0.000558277126402,0.000862954417244,0.000434655696154,0.01,0,0,0,0.01,0,0,0,0.01,0.160786420106888,9.82966613769531,1.06455564498901,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679927068E+018,1323,1.65548679927044E+018,vectornav,0.009168405085802,0.743566572666168,-0.668595671653748,0.002141962759197,0,0,0,0,0,0,0,0,0,0.000500197755173,-0.000102685298771,-0.001488329377025,0.01,0,0,0,0.01,0,0,0,0.01,0.165569663047791,9.82293796539307,1.04718542098999,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679929593E+018,1324,1.65548679929559E+018,vectornav,0.009166211821139,0.743565797805786,-0.668596506118774,0.002144916448742,0,0,0,0,0,0,0,0,0,0.000629400892649,-0.000700867036358,0.000387684092857,0.01,0,0,0,0.01,0,0,0,0.01,0.172834619879723,9.80426692962647,1.04204678535461,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679932076E+018,1325,1.65548679932039E+018,vectornav,0.009165045805275,0.743567407131195,-0.668594837188721,0.002146613784134,0,0,0,0,0,0,0,0,0,0.000142666642205,0.000141858356073,0.000209864636417,0.01,0,0,0,0.01,0,0,0,0.01,0.183779954910278,9.8253116607666,1.0437536239624,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679934566E+018,1326,1.65548679934533E+018,vectornav,0.009161312133074,0.743564128875732,-0.668598473072052,0.002150230575353,0,0,0,0,0,0,0,0,0,8.94866534508765E-05,0.000368635635823,5.42626366950572E-05,0.01,0,0,0,0.01,0,0,0,0.01,0.171502679586411,9.82679557800293,1.05118370056152,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679937067E+018,1327,1.6554867993704E+018,vectornav,0.009168648160994,0.743564903736115,-0.66859757900238,0.002147781662643,0,0,0,0,0,0,0,0,0,0.000623885018285,0.001238564029336,-0.00044605275616,0.01,0,0,0,0.01,0,0,0,0.01,0.146910309791565,9.84229946136475,1.04598927497864,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679939571E+018,1328,1.65548679939542E+018,vectornav,0.009164980612695,0.743565320968628,-0.668597161769867,0.002148176077753,0,0,0,0,0,0,0,0,0,0.000482304953039,0.000315106706694,-0.000219940033276,0.01,0,0,0,0.01,0,0,0,0.01,0.154795557260513,9.80512428283691,1.04244387149811,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679942079E+018,1329,1.6554867994204E+018,vectornav,0.009168286807835,0.743563055992126,-0.668599605560303,0.002150340238586,0,0,0,0,0,0,0,0,0,0.000321662373608,0.000462963944301,4.46797930635512E-05,0.01,0,0,0,0.01,0,0,0,0.01,0.18354956805706,9.8591890335083,1.03911626338959,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679944565E+018,1330,1.65548679944539E+018,vectornav,0.009172830730677,0.743561863899231,-0.668600857257843,0.002154951449484,0,0,0,0,0,0,0,0,0,-0.000625498651061,-5.02653419971466E-05,0.0008137159748,0.01,0,0,0,0.01,0,0,0,0.01,0.169001266360283,9.80345249176025,1.06040179729462,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679947068E+018,1331,1.65548679947038E+018,vectornav,0.009180284105241,0.743558704853058,-0.66860419511795,0.002156094647944,0,0,0,0,0,0,0,0,0,0.00011534767691,-0.000326171517372,0.000389994587749,0.01,0,0,0,0.01,0,0,0,0.01,0.179310202598572,9.80035305023193,1.07218396663666,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679949555E+018,1332,1.65548679949528E+018,vectornav,0.00917711853981,0.74355810880661,-0.668604910373688,0.002152896951884,0,0,0,0,0,0,0,0,0,0.000917778408621,0.00109803606756,0.000363873958122,0.01,0,0,0,0.01,0,0,0,0.01,0.180200532078743,9.82545471191406,1.04175388813019,0.01,0,0,0,0.01,0,0,0,0.01
1.6554867995206E+018,1333,1.6554867995203E+018,vectornav,0.009177964180708,0.743558526039124,-0.668604493141174,0.002153869019821,0,0,0,0,0,0,0,0,0,4.03968733735383E-05,-0.000321177067235,-0.000561916152947,0.01,0,0,0,0.01,0,0,0,0.01,0.162097185850143,9.79939651489258,1.06540679931641,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679954561E+018,1334,1.65548679954531E+018,vectornav,0.009175505489111,0.743560135364533,-0.668602645397186,0.002151688328013,0,0,0,0,0,0,0,0,0,0.000812288955785,0.000747586134821,-0.000243667222094,0.01,0,0,0,0.01,0,0,0,0.01,0.166170954704285,9.80391883850098,1.05926263332367,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679957056E+018,1335,1.65548679957029E+018,vectornav,0.009169600903988,0.7435582280159,-0.668604910373688,0.002151563996449,0,0,0,0,0,0,0,0,0,-0.000933668576181,0.000359488883987,-0.000549630844034,0.01,0,0,0,0.01,0,0,0,0.01,0.152734190225601,9.83513641357422,1.06943869590759,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679959559E+018,1336,1.6554867995953E+018,vectornav,0.00916600972414,0.743560016155243,-0.66860294342041,0.002155097201467,0,0,0,0,0,0,0,0,0,0.000767865800299,0.000261710956693,0.000775243388489,0.01,0,0,0,0.01,0,0,0,0.01,0.181152433156967,9.82582378387451,1.08136558532715,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679962055E+018,1337,1.65548679962026E+018,vectornav,0.009164744056761,0.743559420108795,-0.668603599071503,0.00215968885459,0,0,0,0,0,0,0,0,0,-0.000272562494501,0.000406488310546,-7.18660885468125E-06,0.01,0,0,0,0.01,0,0,0,0.01,0.175863325595856,9.80729961395264,1.06577253341675,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679964562E+018,1338,1.65548679964531E+018,vectornav,0.009157923050225,0.743557155132294,-0.668606162071228,0.002165329642594,0,0,0,0,0,0,0,0,0,0.000937222037464,-0.000821312423795,3.38924000971019E-05,0.01,0,0,0,0.01,0,0,0,0.01,0.162314504384995,9.83282852172852,1.05305910110474,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679967056E+018,1339,1.65548679967029E+018,vectornav,0.009156756103039,0.743555665016174,-0.668607950210571,0.002164475386962,0,0,0,0,0,0,0,0,0,-0.000143762299558,0.000899414531887,-0.000352296046913,0.01,0,0,0,0.01,0,0,0,0.01,0.191166698932648,9.8439302444458,1.06085574626923,0.01,0,0,0,0.01,0,0,0,0.01
1.6554867996956E+018,1340,1.65548679969531E+018,vectornav,0.009152987971902,0.743555426597595,-0.668608248233795,0.002162783639506,0,0,0,0,0,0,0,0,0,0.000115066723083,-0.000270366901532,-2.11115693673491E-05,0.01,0,0,0,0.01,0,0,0,0.01,0.161809861660004,9.8135461807251,1.04938197135925,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679972056E+018,1341,1.65548679972027E+018,vectornav,0.009155213832855,0.743553996086121,-0.668609797954559,0.002153653651476,0,0,0,0,0,0,0,0,0,1.01703917607665E-05,-0.000574728939682,-0.000440977542894,0.01,0,0,0,0.01,0,0,0,0.01,0.149130433797836,9.82585716247559,1.05734002590179,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679974551E+018,1342,1.65548679974518E+018,vectornav,0.009160075336695,0.743558049201965,-0.668605268001556,0.002148679224774,0,0,0,0,0,0,0,0,0,9.32058756006882E-05,0.00135057233274,0.001021839678288,0.01,0,0,0,0.01,0,0,0,0.01,0.165245458483696,9.83335018157959,1.03451526165009,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679977063E+018,1343,1.65548679977031E+018,vectornav,0.009169952012599,0.743555068969727,-0.66860842704773,0.002145767677575,0,0,0,0,0,0,0,0,0,0.000722766621038,-6.4334599301219E-05,0.000878412509337,0.01,0,0,0,0.01,0,0,0,0.01,0.162368088960648,9.79371452331543,1.02652144432068,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679979559E+018,1344,1.65548679979526E+018,vectornav,0.009183301590383,0.743556320667267,-0.66860693693161,0.002135725459084,0,0,0,0,0,0,0,0,0,0.000521089474205,0.000489296391606,0.000467294477858,0.01,0,0,0,0.01,0,0,0,0.01,0.186498984694481,9.82874488830566,1.05582106113434,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679982043E+018,1345,1.65548679982022E+018,vectornav,0.009188717231154,0.743554651737213,-0.668608784675598,0.002127315849066,0,0,0,0,0,0,0,0,0,1.91001017810777E-05,0.000218505738303,-0.000270572840236,0.01,0,0,0,0.01,0,0,0,0.01,0.178178325295448,9.79932403564453,1.02379167079926,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679984546E+018,1346,1.65548679984516E+018,vectornav,0.009182120673358,0.743556559085846,-0.668606579303741,0.002136422786862,0,0,0,0,0,0,0,0,0,-0.00064449897036,0.000348447822034,-0.000323232554365,0.01,0,0,0,0.01,0,0,0,0.01,0.190943419933319,9.79561805725098,1.05853688716888,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679987056E+018,1347,1.65548679987024E+018,vectornav,0.009187036193907,0.743556976318359,-0.668606102466583,0.002132513560355,0,0,0,0,0,0,0,0,0,-0.000690472952556,-0.000657369382679,-0.000453653483419,0.01,0,0,0,0.01,0,0,0,0.01,0.153109312057495,9.79582023620606,1.05772972106934,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679989589E+018,1348,1.65548679989546E+018,vectornav,0.009183146990836,0.743557929992676,-0.668605148792267,0.002127488609403,0,0,0,0,0,0,0,0,0,-0.000951195601374,-0.000198746565729,-0.001149798627011,0.01,0,0,0,0.01,0,0,0,0.01,0.179680034518242,9.83623504638672,1.05841398239136,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679992053E+018,1349,1.65548679992018E+018,vectornav,0.009196024388075,0.743555605411529,-0.668607592582703,0.002120916033164,0,0,0,0,0,0,0,0,0,7.28421000530943E-05,0.000198831316084,0.000978596857749,0.01,0,0,0,0.01,0,0,0,0.01,0.147146493196487,9.86001300811768,1.03768730163574,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679994548E+018,1350,1.65548679994516E+018,vectornav,0.009199508465827,0.74355286359787,-0.668610513210297,0.002116949763149,0,0,0,0,0,0,0,0,0,-0.000193447194761,7.94760417193174E-05,5.47076924704015E-05,0.01,0,0,0,0.01,0,0,0,0.01,0.188976556062698,9.82771396636963,1.05032014846802,0.01,0,0,0,0.01,0,0,0,0.01
1.65548679997046E+018,1351,1.65548679997013E+018,vectornav,0.009207401424646,0.743554055690765,-0.668609082698822,0.002115945098922,0,0,0,0,0,0,0,0,0,-0.000151167507283,0.000827030977234,0.001309205079451,0.01,0,0,0,0.01,0,0,0,0.01,0.159405678510666,9.80364322662354,1.03229284286499,0.01,0,0,0,0.01,0,0,0,0.01
